t,beta,r,d,gamma,sigma
233,0.085488323,0.074166764,0.000221081,9.96E-05,0.05
234,0.091306956,0.078599069,0.000260612,0.000100122,0.05
235,0.091306956,0.078599069,0.000260612,0.000100122,0.05
236,0.091306956,0.078599069,0.000260612,0.000100122,0.05
237,0.091306956,0.078599069,0.000260612,0.000100122,0.05
238,0.091306956,0.078599069,0.000260612,0.000100122,0.05
239,0.091306956,0.078599069,0.000260612,0.000100122,0.05
240,0.091306956,0.078599069,0.000260612,0.000100122,0.05
241,0.091306956,0.078599069,0.000260612,0.000100122,0.05
242,0.091306956,0.078599069,0.000260612,0.000100122,0.05
243,0.091306956,0.078599069,0.000260612,0.000100122,0.05
244,0.104962238,0.129279635,0.000295687,0.000102301,0.05
245,0.104962238,0.129279635,0.000295687,0.000102301,0.05
246,0.104962238,0.129279635,0.000295687,0.000102301,0.05
247,0.104962238,0.129279635,0.000295687,0.000102301,0.05
248,0.104962238,0.129279635,0.000295687,0.000102301,0.05
249,0.104962238,0.129279635,0.000295687,0.000102301,0.05
250,0.104962238,0.129279635,0.000295687,0.000102301,0.05
251,0.104962238,0.129279635,0.000295687,0.000102301,0.05
252,0.104962238,0.129279635,0.000295687,0.000102301,0.05
253,0.104962238,0.129279635,0.000295687,0.000102301,0.05
254,0.104962238,0.129279635,0.000295687,0.000102301,0.05
255,0.113918126,0.102730492,0.000332257,0.000100452,0.05
256,0.113918126,0.102730492,0.000332257,0.000100452,0.05
257,0.114874843,0.086842547,0.000291072,0.000104622,0.05
258,0.114874843,0.086842547,0.000291072,0.000104622,0.05
259,0.114874843,0.086842547,0.000291072,0.000104622,0.05
260,0.114874843,0.086842547,0.000291072,0.000104622,0.05
261,0.114874843,0.086842547,0.000291072,0.000104622,0.05
262,0.114874843,0.086842547,0.000291072,0.000104622,0.05
263,0.114874843,0.086842547,0.000291072,0.000104622,0.05
264,0.114874843,0.086842547,0.000291072,0.000104622,0.05
265,0.114874843,0.086842547,0.000291072,0.000104622,0.05
266,0.114874843,0.086842547,0.000291072,0.000104622,0.05
267,0.114874843,0.086842547,0.000291072,0.000104622,0.05
268,0.114874843,0.086842547,0.000291072,0.000104622,0.05
269,0.114874843,0.086842547,0.000291072,0.000104622,0.05
270,0.114874843,0.086842547,0.000291072,0.000104622,0.05
271,0.114874843,0.086842547,0.000291072,0.000104622,0.05
272,0.08893229,0.053552468,0.000150096,9.99E-05,0.05
273,0.08893229,0.053552468,0.000150096,9.99E-05,0.05
274,0.08893229,0.053552468,0.000150096,9.99E-05,0.05
275,0.08893229,0.053552468,0.000150096,9.99E-05,0.05
276,0.08893229,0.053552468,0.000150096,9.99E-05,0.05
277,0.08893229,0.053552468,0.000150096,9.99E-05,0.05
278,0.08893229,0.053552468,0.000150096,9.99E-05,0.05
279,0.08893229,0.053552468,0.000150096,9.99E-05,0.05
280,0.08893229,0.053552468,0.000150096,9.99E-05,0.05
281,0.100395886,0.087368213,0.000361426,0.000102,0.05
282,0.100395886,0.087368213,0.000361426,0.000102,0.05
283,0.100395886,0.087368213,0.000361426,0.000102,0.05
284,0.100395886,0.087368213,0.000361426,0.000102,0.05
285,0.100395886,0.087368213,0.000361426,0.000102,0.05
