t,beta,r,d,gamma,sigma
341,0.030694842,0.02976573,0.000802962,0.000104502,0.05
342,0.030694842,0.02976573,0.000802962,0.000104502,0.05
343,0.030694842,0.02976573,0.000802962,0.000104502,0.05
344,0.030694842,0.02976573,0.000802962,0.000104502,0.05
345,0.030694842,0.02976573,0.000802962,0.000104502,0.05
346,0.04426579,0.028355134,0.000696178,0.000101354,0.05
347,0.04426579,0.028355134,0.000696178,0.000101354,0.05
348,0.04426579,0.028355134,0.000696178,0.000101354,0.05
349,0.04426579,0.028355134,0.000696178,0.000101354,0.05
350,0.04426579,0.028355134,0.000696178,0.000101354,0.05
351,0.04426579,0.028355134,0.000696178,0.000101354,0.05
352,0.04426579,0.028355134,0.000696178,0.000101354,0.05
353,0.04426579,0.028355134,0.000696178,0.000101354,0.05
354,0.04426579,0.028355134,0.000696178,0.000101354,0.05
355,0.04426579,0.028355134,0.000696178,0.000101354,0.05
356,0.04426579,0.028355134,0.000696178,0.000101354,0.05
357,0.04426579,0.028355134,0.000696178,0.000101354,0.05
358,0.04426579,0.028355134,0.000696178,0.000101354,0.05
359,0.04426579,0.028355134,0.000696178,0.000101354,0.05
360,0.043461033,0.028390996,0.00070946,0.000100338,0.05
361,0.043461033,0.028390996,0.00070946,0.000100338,0.05
362,0.043461033,0.028390996,0.00070946,0.000100338,0.05
363,0.043461033,0.028390996,0.00070946,0.000100338,0.05
364,0.043461033,0.028390996,0.00070946,0.000100338,0.05
365,0.043461033,0.028390996,0.00070946,0.000100338,0.05
366,0.043461033,0.028390996,0.00070946,0.000100338,0.05
367,0.043461033,0.028390996,0.00070946,0.000100338,0.05
368,0.043461033,0.028390996,0.00070946,0.000100338,0.05
369,0.043461033,0.028390996,0.00070946,0.000100338,0.05
370,0.043461033,0.028390996,0.00070946,0.000100338,0.05
371,0.043461033,0.028390996,0.00070946,0.000100338,0.05
372,0.035443998,0.031763401,0.000760864,0.000106016,0.05
373,0.035443998,0.031763401,0.000760864,0.000106016,0.05
374,0.035443998,0.031763401,0.000760864,0.000106016,0.05
375,0.035443998,0.031763401,0.000760864,0.000106016,0.05
376,0.035443998,0.031763401,0.000760864,0.000106016,0.05
377,0.035443998,0.031763401,0.000760864,0.000106016,0.05
378,0.035443998,0.031763401,0.000760864,0.000106016,0.05
379,0.035443998,0.031763401,0.000760864,0.000106016,0.05
380,0.035443998,0.031763401,0.000760864,0.000106016,0.05
381,0.035443998,0.031763401,0.000760864,0.000106016,0.05
382,0.035443998,0.031763401,0.000760864,0.000106016,0.05
383,0.035443998,0.031763401,0.000760864,0.000106016,0.05
384,0.035443998,0.031763401,0.000760864,0.000106016,0.05
385,0.035443998,0.031763401,0.000760864,0.000106016,0.05
386,0.035443998,0.031763401,0.000760864,0.000106016,0.05
387,0.02595574,0.033213269,0.000845045,0.000102626,0.05
388,0.02595574,0.033213269,0.000845045,0.000102626,0.05
389,0.02595574,0.033213269,0.000845045,0.000102626,0.05
390,0.02595574,0.033213269,0.000845045,0.000102626,0.05
391,0.02595574,0.033213269,0.000845045,0.000102626,0.05
392,0.02595574,0.033213269,0.000845045,0.000102626,0.05
393,0.02595574,0.033213269,0.000845045,0.000102626,0.05
394,0.02595574,0.033213269,0.000845045,0.000102626,0.05
395,0.029606013,0.035115328,0.000718245,0.0001,0.05
396,0.029606013,0.035115328,0.000718245,0.0001,0.05
397,0.029606013,0.035115328,0.000718245,0.0001,0.05
398,0.029606013,0.035115328,0.000718245,0.0001,0.05
399,0.029606013,0.035115328,0.000718245,0.0001,0.05
400,0.027687695,0.039179066,0.000681275,0.000101589,0.05
401,0.027687695,0.039179066,0.000681275,0.000101589,0.05
402,0.027687695,0.039179066,0.000681275,0.000101589,0.05
403,0.027687695,0.039179066,0.000681275,0.000101589,0.05
404,0.027687695,0.039179066,0.000681275,0.000101589,0.05
405,0.027687695,0.039179066,0.000681275,0.000101589,0.05
406,0.027687695,0.039179066,0.000681275,0.000101589,0.05
407,0.024192184,0.035635412,0.000653707,0.000103597,0.05
408,0.024192184,0.035635412,0.000653707,0.000103597,0.05
409,0.024192184,0.035635412,0.000653707,0.000103597,0.05
410,0.024192184,0.035635412,0.000653707,0.000103597,0.05
